2022-10-10T01:45:48.634552+0000 DEBUG 2013   starting
2022-10-10T01:45:48.638035+0000 DEBUG 2014   starting
2022-10-10T01:45:48.641862+0000 DEBUG 2015   starting
2022-10-10T01:45:48.645545+0000 DEBUG 2016   starting
2022-10-10T01:45:48.646682+0000 DEBUG 2013            ///////           0
2022-10-10T01:45:48.649416+0000 DEBUG 2017   starting
2022-10-10T01:45:48.651884+0000 DEBUG 2014            ///////           0
2022-10-10T01:45:48.653327+0000 DEBUG 2018   starting
2022-10-10T01:45:48.657222+0000 DEBUG 2019   starting
2022-10-10T01:45:48.656692+0000 DEBUG 2015            ///////           0
2022-10-10T01:45:48.661105+0000 DEBUG 2020   starting
2022-10-10T01:45:48.671434+0000 DEBUG 2016            ///////           0
2022-10-10T01:45:48.677417+0000 DEBUG 2017            ///////           0
2022-10-10T01:45:48.687735+0000 DEBUG 2018            ///////           0
2022-10-10T01:45:48.697611+0000 DEBUG 2019            ///////           0
2022-10-10T01:45:48.702290+0000 DEBUG 2020            ///////           0
2022-10-10T01:47:15.737164+0000 DEBUG 2013            ///////           10000
2022-10-10T01:47:29.911718+0000 DEBUG 2014            ///////           10000
2022-10-10T01:47:48.708640+0000 INFO 2019:self:1PhHZzp2rTrueWQtqMBdKYuAmSjbPQV2it
2022-10-10T01:47:51.172890+0000 DEBUG 2015            ///////           10000
2022-10-10T01:48:15.785669+0000 DEBUG 2017            ///////           10000
2022-10-10T01:48:42.052043+0000 DEBUG 2013            ///////           20000
2022-10-10T01:48:42.438214+0000 DEBUG 2016            ///////           10000
2022-10-10T01:49:02.271563+0000 DEBUG 2014            ///////           20000
2022-10-10T01:49:06.918675+0000 DEBUG 2019            ///////           10000
2022-10-10T01:49:23.301180+0000 DEBUG 2018            ///////           10000
2022-10-10T01:49:46.121272+0000 DEBUG 2020            ///////           10000
2022-10-10T01:49:46.761985+0000 DEBUG 2015            ///////           20000
2022-10-10T01:50:13.070327+0000 DEBUG 2013            ///////           30000
2022-10-10T01:50:38.458797+0000 DEBUG 2014            ///////           30000
2022-10-10T01:51:06.426808+0000 DEBUG 2017            ///////           20000
2022-10-10T01:51:36.599015+0000 DEBUG 2015            ///////           30000
2022-10-10T01:51:40.177392+0000 DEBUG 2013            ///////           40000
2022-10-10T01:51:44.290014+0000 DEBUG 2016            ///////           20000
2022-10-10T01:52:15.487010+0000 DEBUG 2019            ///////           20000
2022-10-10T01:52:25.114039+0000 DEBUG 2014            ///////           40000
2022-10-10T01:53:07.004433+0000 DEBUG 2018            ///////           20000
2022-10-10T01:53:10.430935+0000 DEBUG 2013            ///////           50000
2022-10-10T01:53:35.963971+0000 DEBUG 2015            ///////           40000
2022-10-10T01:53:45.470182+0000 DEBUG 2017            ///////           30000
